terme,chatgpt,equivalence,possession,but,autre_relation,texte,notes
stock,F,T,T,T,F,"Le stock correspond à l'ensemble des produits qu'une entreprise possède, stocké en attendant leurs utilisations ou leurs ventes.",F
stock,F,T,T,T,F,"Le stock représente tous les produits possédés par une entreprise qui sont stockés en attente d'utilisation ou de vente.",F
stock,F,T,T,T,F,"Un stock est un ensemble de produits physiques (marchandises, matières premières ou produits finis) possédés par une entreprise, en attendant d'être utilisés dans le processus de production ou d'être vendus sur un marché.",F
stock,F,T,T,T,opposition,"Un stock est un agrégat qui intègre à la période présente des éléments qui étaient déjà présents dans l’agrégat de la période précédente . La notion de stock s’oppose ainsi à celle de flux, qui est un agrégat qui se renouvelle entièrement de période en période . Donc un flux est remis à 0 au début de chaque période, alors qu’un stock a un « effet mémoire » . De manière imagée, on peut dire que le stock est un réservoir d’eau, tandis que le flux correspond à la quantité d’eau ajoutée (flux entrant) ou enlevée (flux sortant) à chaque période . Le stock est donc une accumulation de flux entrants, moins une accumulation de flux sortants",exemple en disant de manière imagée + très long + plusieurs phrases
stock,T,T,T,T,F,"Le stock d'une entreprise représente l'ensemble des produits qu'elle conserve en vue de leur utilisation ou de leur vente.",relation de possession bizarre
stock,T,T,T,T,F,"L'entreprise possède un stock de produits qui est stocké en vue de leur utilisation ou de leur vente.",F
stock,T,T,T,T,F,"Le stock d'une entreprise est constitué de tous les produits qu'elle possède et qu'elle stocke en vue de leur utilisation ou de leur vente.",relation de possession bizarre
stock,T,F,T,T,F,"En attendant d'être utilisés ou vendus, les produits possédés par une entreprise sont stockés dans son stock.",manque la relation d'équivalence
stock,T,T,T,T,F,"Tous les produits qu'une entreprise possède et qu'elle stocke en vue de leur utilisation ou de leur vente sont appelés le stock de l'entreprise.",F
stock,T,T,T,T,F,"Le stock correspond à l'ensemble des articles détenus par une entreprise et qui sont stockés en vue d'être utilisés ou vendus.",inventaire a été remplacé par stock
stock,T,T,T,T,F,"Le stock désigne tous les produits détenus par une entreprise qui sont stockés en attente d'être utilisés ou vendus.",réserve a été remplacé par stock
stock,T,T,T,T,F,"Le stock représente l'ensemble des articles possédés par une entreprise qui sont stockés en prévision de leur utilisation ou de leur vente.",magasinage a été remplacé par stock
stock de marchandises,F,T,F,T,F,"Un stock de marchandises est une réserve de biens achetés pour être revendus sans transformation.",F
stock de marchandises,F,T,F,T,F,"Un stock de marchandises représente des biens qui arrivent dans l’entreprise déjà finis, prêts à être revendus. Il n’y a donc pas de modification à y apporter.",deux phrases + ajout du début de ma part
stock de marchandises,F,T,F,T,F,"Un stock de marchandises est une quantité de biens achetés par une entreprise, destinés à être revendus tels quels, sans transformation.",ajout du début de ma part
stock de marchandises,T,T,F,T,F,"Un stock de marchandises est une accumulation de marchandises achetées en vue de leur revente sans aucune altération. ",F
stock de marchandises,T,T,F,T,F,"Un stock de marchandises représente une réserve de produits acquis pour être commercialisés sans subir de modifications. ",F
stock de marchandises,T,T,F,F,F,"Un stock de marchandises désigne des articles qui pénètrent dans l'entreprise déjà prêts à la vente, sans nécessiter de modifications préalables. ",F
stock de marchandises,T,T,F,T,F,"Un stock de marchandises consiste en des articles qui sont livrés à l'entreprise sous forme finale, prêts à être commercialisés sans intervention de transformation. ",F
stock de marchandises,T,T,F,T,F,"Un stock de marchandises correspond à une quantité de biens achetés par une entreprise, destinée à être revendue dans leur état d'origine, sans subir de changements. ",F
stock de marchandises,T,T,F,T,F,"Un stock de marchandises est une réserve de produits achetés par une entreprise en vue de leur revente tels quels, sans aucune transformation. ",F
stock de matières premières,F,T,F,T,F,"Un stock de matières premières est une réserve de biens achetés pour être utilisés dans le cycle de production.",F
stock de matières premières,T,T,F,T,F, "Un stock de matières premières représente une accumulation de ressources acquises en vue de leur utilisation dans le processus de production."
stock de matières premières,T,T,F,T,F ,"Un stock de matières premières désigne une quantité de biens achetés pour être intégrés dans le cycle de fabrication.",F
stock de produits finis,F,T,F,T,F,"Un stock de produits finis est une réserve de biens fabriqués par l'entreprise et prêts à être vendus.",F
stock de produits finis,T,T,F,T,F,"Un stock de produits finis est une réserve de produits conçus et produits par l'entreprise, prêts à être mis en vente.",F
stock de produits finis,T,T,F,T,F,"Un stock de produits finis consiste en des biens fabriqués au sein de l'entreprise et prêts à être commercialisés.",F
cycle de financement,F,T,F,T,contrepartie,"Le cycle de financement c’est le cycle qui regroupe toutes les opérations financières qui concerne l’activité de l’entreprise on peut dire que le cycle de financement est la contrepartie du cycle d’investissement et d'exploitation car il sert à trouver de l’argent (capitaux) pour les financer.",F
