terme,chatgpt,equivalence,possession,but,autre_relation,texte,notes
Bilan,T,F,F,F,F,"Document comptable qui présente le patrimoine de l'entreprise à un moment donné.",présentation?
Bilan,T,T,F,F,F,"Le bilan est composé de deux parties, l'actif et le passif, qui doivent être équilibrées.",F
Bilan,T,F,F,T,F,"Le bilan permet de connaître la situation financière de l'entreprise à un instant T.",F
Capitaux propres,T,F,F,F,action,"Ensemble des ressources financières apportées par les actionnaires ou les associés à l'entreprise.",F
Capitaux propres,T,T,F,F,F,"Les capitaux propres se composent du capital social, des réserves, des bénéfices non distribués, etc.",F
Capitaux propres,T,T,F,F,F,"Les capitaux propres sont une source de financement stable pour l'entreprise.",F
Charges,T,F,F,F,action,"Dépenses engagées par l'entreprise pour son activité.",F
Charges,T,F,F,F,connection,"Les charges peuvent être liées aux achats, aux salaires, aux frais généraux, etc.",F
Charges,T,F,F,F,enregistrement,"Les charges sont enregistrées dans le compte de résultat.",F
Compte de résultat,T,F,F,F,action,"Document comptable qui présente le résultat de l'entreprise sur une période donnée.",F
Compte de résultat,T,F,F,F,action,"Le compte de résultat présente les produits et les charges de l'entreprise et détermine son bénéfice ou sa perte.",F
Compte de résultat,T,F,F,T,F,"Le compte de résultat permet d'évaluer la rentabilité de l'entreprise.",F
Créances,T,F,F,F,droit,"Montant d'argent que l'entreprise a le droit de recevoir de ses clients ou de ses partenaires.",but ou droit?
Créances,T,T,F,F,F,"Les créances sont des actifs à court terme pour l'entreprise.",F
Créances,T,T,F,F,enregistrement,"Les créances sont enregistrées dans le bilan de l'entreprise.",F
Dépréciation,T,F,F,F,explication,"Perte de valeur d'un actif immobilisé du fait de l'usure, de l'obsolescence ou d'autres facteurs.",F
Dépréciation,T,F,F,F,enregistrement,"La dépréciation est enregistrée en charges dans le compte de résultat.",F
Dépréciation,T,F,F,T,F,"La dépréciation permet de refléter la valeur réelle des actifs de l'entreprise.",permet = but? 
EBITDA,T,F,F,F,F,"Acronyme pour « Earnings Before Interest, Taxes, Depreciation and Amortization ».",F
EBITDA,T,F,F,F,action,"Indicateur financier qui mesure le bénéfice d'exploitation de l'entreprise avant déduction des intérêts, des impôts, de l'amortissement et de la dépréciation.",but ?
EBITDA,T,F,F,T,F,"L'EBITDA est utilisé pour évaluer la performance financière de l'entreprise.",but ? 
Exercice comptable,T,F,F,F,interaction,"Période de temps pendant laquelle l'entreprise tient sa comptabilité.",F
Exercice comptable,T,F,F,F,informations_supplémentaires,"La durée de l'exercice comptable peut varier d'une entreprise à l'autre.",F
Exercice comptable,T,F,F,T,F,"L'exercice comptable permet de déterminer le bénéfice ou la perte de l'entreprise sur une période donnée."permet = but ?
Facture,T,F,F,F,F,"Document comptable qui atteste d'une vente ou d'une prestation de services.",F
Facture,T,T,F,F,F,"La facture comporte des informations telles que la date, le montant, les conditions de paiement, etc.",F
Facture,T,F,F,F,utilisation,"La facture est utilisée comme preuve comptable et fiscale.",equivalence ou utilisation? 
Fonds de roulement,T,F,F,F,relation,"Différence entre les actifs circulants (liquidités, créances) et les passifs circulants (dettes à court terme).",F
Fonds de roulement,T,F,F,T,F,"Le fonds de roulement permet à l'entreprise de faire face à ses échéances à court terme.",F
Fonds de roulement,T,F,F,F,action,"Un fonds de roulement insuffisant peut mettre en danger la trésorerie de l'entreprise.",F
Frais généraux,T,F,F,F,restriction,"Ensemble des dépenses liées à l'activité de l'entreprise qui ne peuvent être directement imputées à un produit ou à un service.",F
Frais généraux,T,T,F,F,F,"Les frais généraux comprennent les loyers, les charges sociales, les assurances, etc.",F
Frais généraux,T,F,F,F,enregistrement,"Les frais généraux sont enregistrés en charges dans le compte de résultat.",F
Immobilisations,T,F,T,T,F,"Ensemble des biens et droits que l'entreprise détient en vue de son exploitation à long terme.",F
Immobilisations,T,F,F,F,informations_supplémentaires,"Les immobilisations peuvent être corporelles (bâtiments, équipements) ou incorporelles (brevets, marques)."
Immobilisations,T,F,F,F,enregistrement,"Les immobilisations sont enregistrées à l'actif du bilan."
Impôts,T,F,F,F,action,"Prélèvements obligatoires effectués par l'Etat sur les bénéfices et les revenus de l'entreprise."
Impôts,T,F,F,F,informations_supplémentaires,"Les impôts peuvent prendre différentes formes, telles que l'impôt sur les sociétés, la TVA, etc.",équivalence? 
Impôts,T,F,F,F,enregistrement,"Les impôts sont enregistrés en charges dans le compte de résultat.",forme d'équivalence ? 
Inventaire,T,F,F,F,F,"L'inventaire permet de déterminer la valeur des stocks et de vérifier leur conformité avec les enregistrements comptables.",F
Inventaire,T,F,F,T,F,"Opération qui consiste à recenser et à évaluer les stocks de l'entreprise à une date donnée.", consiste à = but ou équivalence? 
Inventaire,T,T,F,F,nécessité,"L'inventaire est une opération obligatoire à la fin de chaque exercice comptable.",nécessité ?
Journal,T,F,F,F,action,"Registre comptable qui enregistre chronologiquement toutes les opérations de l'entreprise.",F
Journal,T,T,F,F,F,"Le journal est composé de lignes qui comportent les informations relatives aux opérations (date, libellé, montant, etc.).",F
