terme,chatgpt,equivalence,possession,but,autre_relation,texte
actif net,F,T,F,F,calcul,"Un actif net est la somme des actifs d’une société, diminués de ses dettes actuelles ou potentielles. L’actif net correspond donc aux fonds propres." 
actif net,T,T,F,F,calcul,"C’est la somme des actifs d’une société, diminués de ses dettes actuelles ou potentielles. L’actif net correspond donc aux fonds propres."
actif net,T,T,F,F,calcul,"L'actif net représente la valeur résiduelle des actifs d'une entreprise une fois que toutes ses dettes actuelles et potentielles ont été soustraites."
actif net,T,T,F,F,calcul,"L'actif net est le solde restant après avoir déduit les dettes actuelles ou potentielles de la valeur totale des actifs d'une société. Cela représente la valeur nette de l'entreprise."
actif net,T,T,F,F,circonstance,"En prenant en compte les actifs et les dettes, l'actif net d'une entreprise est le montant des fonds propres disponibles, qui correspond à la différence positive entre les actifs et les dettes."
actif net,T,T,F,F,calcul,"L'actif net est la mesure de la valeur économique d'une entreprise, calculée en soustrayant les dettes actuelles et potentielles de la valeur de tous les actifs détenus."
actif net,T,T,F,F,calcul,"L'actif net est le montant financier qui reste après avoir compensé les dettes actuelles ou potentielles avec les actifs totaux d'une société. Il représente la valeur nette ou le patrimoine de l'entreprise."
actif net,T,T,F,F,condition/circonstance,"L'actif net est la différence entre les actifs totaux d'une entreprise et ses dettes totales. Il représente essentiellement la valeur nette de l'entreprise, c'est-à-dire la valeur résiduelle qui serait obtenue si tous les actifs étaient vendus et toutes les dettes remboursées."
actif net,T,T,F,F,condition/circonstance+calcul,"L'actif net est également appelé les fonds propres d'une entreprise. Il est calculé en soustrayant les passifs totaux de l'entreprise de ses actifs totaux. Cela représente la part de la valeur de l'entreprise qui appartient aux propriétaires ou aux actionnaires, une fois que toutes les obligations envers les créanciers ont été remplies."
action,F,T,F,F,F,"Une action est un titre de propriété correspondant à une part du capital d’une société."
action,T,T,F,F,conférer,"Une action représente une fraction du capital d'une société et constitue un titre de propriété qui confère à son détenteur certains droits et privilèges au sein de l'entreprise."
action,T,T,F,F,conférer,"Une action est un certificat ou un titre de propriété qui représente une participation dans le capital d'une entreprise, donnant à son détenteur des droits et des intérêts financiers dans ladite entreprise."
action,T,T,F,F,conférer,"Une action est un instrument financier qui représente la propriété d'une part du capital social d'une société. Elle confère à son propriétaire des droits économiques et des prérogatives liés à sa participation dans l'entreprise."
action,T,T,F,F,conférer,"Une action correspond à une unité de propriété dans une société, symbolisée par un document ou un enregistrement électronique, qui accorde à son possesseur des droits de propriété et une part des bénéfices éventuels de l'entreprise."
action,T,T,F,F,conférer,"Une action est un titre de propriété qui incarne une part indivisible du capital d'une entreprise. Elle donne à son propriétaire le droit de participer aux décisions de l'entreprise et de partager les bénéfices éventuels sous forme de dividendes."
actionnaire,F,T,F,F,conférer,"Un actionnaire est une personne physique ou morale propriétaire d’actions dans une société. Il s'agit d'un statut qui lui donne accès à une partie de la valeur de la société, lui confère un droit de vote à l’assemblée générale des actionnaires, un droit à recevoir un dividende et un droit au boni de liquidation en cas de liquidation judiciaire de la société."
actionnaire,T,T,T,F,conférer,"Un actionnaire est un individu ou une entité qui détient des actions dans une société, ce qui lui confère la qualité de propriétaire d'une partie du capital de l'entreprise. En tant que tel, il bénéficie de droits tels que le droit de vote lors des assemblées générales, le droit de recevoir des dividendes et le droit de partager les actifs en cas de liquidation."
actionnaire,T,T,T,F,conférer,"L'actionnaire est un investisseur, qu'il s'agisse d'une personne physique ou morale, qui possède des actions dans une entreprise. Cette propriété d'actions lui accorde des droits économiques et juridiques, notamment le droit de participer aux décisions importantes de l'entreprise et de recevoir une part des bénéfices réalisés."
actionnaire,T,T,T,F,avoir-droit,"Un actionnaire est un détenteur d'actions d'une société, ce qui fait de lui un copropriétaire de l'entreprise. En tant que copropriétaire, il a le droit de prendre part aux décisions clés de la société, d'obtenir une part des bénéfices sous forme de dividendes et d'avoir accès à une partie de la valeur de l'entreprise en cas de liquidation."
actionnaire,T,T,T,F,conférer,"L'actionnaire est une personne physique ou morale qui possède des actions d'une société, lui conférant ainsi un statut de propriétaire. En tant que propriétaire, il jouit de certains droits, tels que le droit de participer aux assemblées générales et de voter sur les questions importantes, le droit de recevoir des bénéfices distribués sous forme de dividendes et le droit de partager les actifs de l'entreprise en cas de dissolution."
actionnaire,T,T,T,F,conférer,"Un actionnaire est un individu ou une entité qui investit dans une société en acquérant des actions. En tant qu'investisseur, il détient une part de la propriété de l'entreprise et a le droit d'influencer les décisions stratégiques lors des assemblées générales, de recevoir des revenus sous forme de dividendes et de réclamer une part des actifs de l'entreprise en cas de cessation d'activité."
Actualisation,F,T,F,T,inverse+possibilité,"L'actualisation désigne un calcul qui permet de transformer un flux financier futur en une valeur équivalente présente. L’actualisation sert à mesurer la pertinence d’un investissement. L’inverse de l’actualisation est la capitalisation."
